阿	至亲
阿爸	叔父
阿伯	老父
阿伯	伯父
阿爹	爸爸
阿兄	弟弟
阿哥	哥哥
安	啊	安?!他真是小冯?	(仔细打量)
安	哼	谁同意你捐的，安?你怎么不把书包也捐了?
干	干旱	刚才那个徐妈妈，同我讲了好一阵，说她们那里天～饿死了人，她们是逃荒出来的。
干	净	结果县太爷收了捐税四万元，～赚一万元。|动工那天，甚至有慕名的人跑来帮～忙，他也不拒绝。
干	枯瘦	这人好～！
干巴拉翘	干巴巴	搁了几天的锅魁，～的，还吃得呀?
干把把	稠糊	这稀饭～的，差点儿焖成干饭了。
干梆硬撑	生硬	你一开口就～的，好话都说不来一句。
干梆硬撑	刚强	我知道你是一个～的人，有困难也不开口。
干瘪瘪	干瘪	豌豆角子～的，米米都没得。
干菜	干菜	～，这里是指黄花、木耳、明笋、香菌、玉兰片、粉条等。
干疮	疥疮
干疮子	疥疮
干疙痨	疥疮。
干哽	生吞	水壶没得一口水，饼干只有～啰！
干哽	哽咽	“我冤枉呀，徐处长！求求你放了我吧。”他～了一阵，又哭喊起来。
干猴儿	瘦子
干猴儿	穷人	许多半辈子像牛马一样，只知在田里不声不响劳累受磨的～眨眼间都忽然变成了厉害的人物。
干黄鳝	穷人
干鸡子	穷人	这世道简直跟岩石一样，总就容不下你我这样的～
干焦焦	干燥	原先油黑油黑的头发已变成～灰蒙蒙的了。
干筋筋	干瘦	不怕男人~儿，只怕男人粉团团儿。
干筋蜡猴儿	干瘦	你啊，～的，怎么干得了这种活路呢?
干筋瘦壳	干瘦	光爱吃零食，顿头上又不吃饭，咋个不长得~的?
干坎	河岸
干人	穷人。
干沙沙	干硬	那馍馍~的，有啥吃头。
干耸耸	干	他端来～的一碗面。
干田	旱田。
干口	瘦子
干鸭子	旱鸭子
干眼睛	添堵	我可是偏要活起来干他的眼睛！
牵眼睛	添堵
干扎扎	干巴	眼睛~的。
干吱吱	干	面包吃起～的。
甘贵	精贵	这家什～得很，要一大把票子才买得到。
杆	支	王自明坐在门坎上，一～接一~地吃烟，不免想出许多的心事来。
肝经火旺	暴躁	那个三辣子虽然～吵闹之后还容易说服一些。经，又作筋或精。
柑子	桔子
柑子	柚子
竿竿	竹竿
杆杆	杆子
竿竿匠	牧羊人	乡里队里的干部夸我是致富人才，要我当队里的～。
杆杆匠	牧羊人	乡里队里的干部夸我是致富人才，要我当队里的～。
杆杆	茎	油菜籽～|包谷～。
赶1	扒	～菜。
赶1	派	我们没法，所以才～人给你们报信。
赶1	乘坐	我没有~过船哦！
赶1	参加	～礼|～生期酒。
赶1	连接	如此之类的米汤，一勺～一勺，蒙头盖面淋下来，直淋得罗升面红耳赤。
赶2	比	一个～一个好。|一个～一个强。
赶场	赶集	与媒人约了个时候，在六月间一个～日子，两口子一同起个早，跑到天迴镇来。
赶拉凑	凑热闹	这儿联欢会开得好闹热，我也来赶个担凑。
赶街街	赶集	小长秀突然又问她参	“明天～四嬷还在那儿等我么?”
赶口	顺畅	孽龙拿筷子抄起面条，三扒两下，一呼噜吃下去，正滑溜～。
赶溜溜场	赶集	眼下农村场镇活跃，这个场和那个场，又不打重合。我翻出老辈子留下的翘扁担，赶起了溜溜场。
赶网子	渔网
赶网子	帮凶	替人家充当～的铁鸭公，此时的昧良心，也不再是出于无奈。
赶嘴	蹭饭	自家来～就够份儿了嘛，把婆娘娃娃全弄来，哪有这样的规矩?
敢比	比	我见过的太阳也～你多！
敢莫	莫非	王又新也是双流人，～是王又新在演说?
敢信	怀疑	~他打碗水把我吞了。
擀盘子	修面	郝又三本来打算到街口上那家剃头厂子去～。
干1	同意	兄弟，二哥有一事相商，你～就点头，不～就摇头。
干2(噉)	吃	倒是哟！我们龙家女子，出嫁前，都是笨嘴笨舌的，只会~饭。
噉	吃	倒是哟！我们龙家女子，出嫁前，都是笨嘴笨舌的，只会~饭。
干仗	吵架	回到家里一看，那两位还在～呢。
间	相隔	我们那里～一天就要赶一场。|这间屋大，中间～堵墙就是两间了。
间壁	隔墙	这里砌堵～拦一下。
酮酮	垢	尿～|酱油～。
㭎炭	活性炭	每个火塘子都堆满～燃得红朗朗的。
杠炭	活性炭	每个火塘子都堆满～燃得红朗朗的。
闷窑炭	活性炭	每个火塘子都堆满～燃得红朗朗的。
钢鞭	铁证	老人把刀交给公安人员说：“这是我那逆子犯罪的～！”
钢火	强度	这铁器指[梭镖]，据说崇庆州打的～最好。
钢声钢气	高声	年纪虽已过六十，却顶有精神，说话～，又宏亮又急骤。
缸钵	瓦钵	你有～我有罐罐。
缸缸	缸
缸儿	缸
杠1	横	三字中间一～王字嘛！
杠1	直	二字横起加一～不就成了三吗?
杠2	扭	你人又小，要去站在那最高的一层。你看你，把胸口挺着，把颈子～在一边，想提高你的身子。
杠杠	直线	过马路还要看路面上有没有白～。
杠杠	规定	对于才能超拔的人物，大可悉心委任，何必死扣～?更何必任意提高～挑剔一些不相干的毛病?
杠架	架子	每尊炮扎了一副～,抬夫八人，两副～,抬夫共一十六人。
杠架	高低杠	足球场两边两只角隅还安设了好些顽意，据说是什么～,平台、浪桥、秋千。
杠神匠	巫师。
杠子	人民币
绛	彩虹
戆	愣	～头~脑。
戆	执拗	脾气～。
戆头戆脑	笨头笨脑	长老平素就嫌沙僧～，听八戒这一说，很不自在。
扛头扛脑	笨头笨脑	长老平素就嫌沙僧～，听八戒这一说，很不自在。
戆头子	老顽固	他是个～，好话说了几背筑也没用。
高长子	高个子
高脚蹬	高跷
高脚狮子	高跷
高朗	突兀	田土中央有三亩不到一片比较～些的地基。
高矮	无论如何	两个管事～不答应，说：哪有女人家唱花脸的?太稀奇了！
高上	上面	墙～有字。
高耸耸	高高大大	背上～的背一夹背，满咚咚的盛着纸钱和香蜡。
高头	上面	太阳已经很高了，爬过竹林～把屋前一块小院坝照得亮见晃的。
高中中	高挑儿	小伙儿长得～的，清清秀秀的。
搞不转	应接不暇	我这儿忙得～，你还要来打麻烦！
搞得转	将就
搞得赢	将就	我们六个人对付那个提手枪的家伙是～的。
搞得赢	来得及	还有一个钟头，赶二路电车去火车站，肯定~！
搞得赢	将就	这几天忙是忙一点，但还～。
搞干	钻营	他比他们会～手法高。|明叔，朝廷加派岑宫保来川，你看是不是出于我们代表刘声元在京的～?|大小给兄弟～一个位子，好不好?
搞干	收益	做花木生意，～大得很。
搞惯	习惯	书记在寨子里～了，总是十二点钟才睡觉。
搞刨	急急巴巴	只要一有客人来，小家伙就搬椅子、端糖盒，简直～了！
搞啥子钢的	行当	也不打听一下，老子是～。
搞啥子灯儿的	行当
搞头	收益	坝地再多点，～就更大了！
搞忘	忘记	中央决议我们也学习过的嘛！咋个就～啦！又说搞忘记。
告	试	妈喊快点~鸭儿胃口呢。|这双鞋你来～一下，看穿不穿得。
告帮	讨要	幸而在邛州碰见一个同学，~了一块龙洋，才算盘缠到了省。
告化儿	乞丐
告口	求饶	这回抓倒非整得他下话~不可！
告口	愈合	他的枪伤早就～了。不要听你爹的，像撞了煞一样，总是这里不生肌，那里不～的。
铰	铆接	剪刀～松了。
窖	埋藏	谢天谢地，我家爷～的银子要出世了。
给	对	他不是~你说找王松林去了吗?
格	这个	～舅子~杂种，你好多羊儿払不上山哟，要拿到我门口来摆！
格老子	那样	又不是我惹起的，他～硬朝我身上出气！|一个钱的捐税不给，光是净赚，~才安逸呀！又说跟老子。
疙蔸(杚𣘛)	根	我要去沟边上打树～。|吃了笋子可千万不能敲～啊。
格格	格子	把字填在～头。
格格	界限	裕民粮食公司老本蚀光，倒背了一屁股债，早已过了宣告破产的～了。
格里包鼓(格楞包拱)	凸凹不平	一双青筋虯结的大手，握了根酒杯粗细，～不知什么材料做的叶子烟竿。
格塞	结巴	“你们，你们，咋个这，这，这，这样……”校长急凑着说，似乎想说出一声“无理取闹”但都~着了。
隔壁户	邻居
隔壁	邻居
隔壁子	邻居
隔隔	界限	论彼此，分～。
隔食	消化不良	柳家三祖老太爷就是在吃饭时，有人来告诉他盐号倒了灶，登时就得了～病。
格不拢耸	臃肿	穿得～的还说冷?格，
格耸耸	臃肿	穿得~的，像个狗熊一样。
𠺝	哩	杨森营里头有几个共产党，硬是不信邪，带领人马把洋船扣了～。
嗝火烟气	打嗝	姨妈劝菜太狠，把人家吃得～。
革	割	～一坨肉。
个儿	的	轻轻～说|慢慢～走马上放下罩子，悄悄～在床上搜索。|他轻轻～的走了进来。|我悄悄～地跟倒他。
根	个	搬一～凳子过来。|两口大小相当的鱼塘，中间只隔了一～田坎。|就在这～树子底下谈吧！|歇一会我叫卡子上派两~枪送你老人家进城。
根蔸	根	屋前屋后原也护有竹林，现在也只剩有一些竹～了。
根根	根
根根	根源	她老婆从没有神经病的～。
根根芽芽	依据	对真实情况，反倒见不到～，完全拿给一些现像闹糊涂啦！
根笋	从来	我挣的几个钱，～是顾了穿。
根头	粗细	老竹子少，每年春秋两季，发的新笋就少，～也细。
根芽	根源	这才是事情的～。
根芽	依据	你娃儿扯谎，说话没～。
跟倒	立刻	只要对河一喊船，～就划过去。
跟斗扑爬	心急火燎	你说的今天一定要，催得人～地弄好了，又不写啦！
跟斗扑爬	灰头土脸	李春山本来架起当头炮去轰人家，谁知反倒被人家轰得个～。
跟即(赓即)	随即	我到了那个县衙门，～去上班办公。
跟脚鬼	尾巴	我看他就是想当~踩我们的脚印子！
跟老子	那样
跟前	前面	太太坐在梳洗台子～的大理石面方凳上。
跟身	随即	等到高金山～跨进门限，她已站在高金山平日睡觉的那张连二铺前。
跟手	随即	让他给先生磕个头！～还要费先生的金神，看咋个说人情，送他进武学堂去哩。
羹羹儿	糊糊	这个老爹，胡子恁长，恐怕喝包谷～糊起揩不脱哟。
庚拎刚啷	唧咕唧咕	不晓得你拉的啥子二胡哟，～的！
庚拎刚啷	叽里咕噜	卢队长，你上成都省受了训回来，说起话来，～的，打京腔，像洋人打哈哈一样，我们听魏不懂了啊。又作今令扛浪。
哽(梗)	噎住	郎君，你慢慢吃，莫～倒了。我们谈了一阵，遇到个问题，～起了，谈不下去了。
哽(梗)	吞咽	我一口吃了几块饼干，半天都～不下去。
整(梗)	整数	我的钱都是~的，没得小票子。
整(梗)	完整	这是块～木料，拿来做桌面正好。
整抬	照搬	他一张嘴巴便头头是道，报纸社论都能随口引用，一段一段地～。
更见	更加	孩子的病情～好些了。
埂埂	埂子
埂埂	痕迹	他前天挨打，背上遭打起了好多～。
哥老信	哥哥	这是参议长～的狗。
哥子	哥哥	虽然他比王自明还小两岁，王自明却把他看为自己的～。
哥子	老兄	在家靠父母，出门靠朋友，二天有空，定要陪你～吃茶。|这些利害，他～比我们看得明白。
哥子	我	你老弟办喜事还把～们瞒着哩。
锅巴盐	矿盐	最经吃的还是～不管咋个说，人生在世，总该吃点盐巴，活起也才有点味哟。
锅儿匠	厨师	小食店里冷锅冷灶的，～和服务员无精打采，仿佛一年四季都有打不完的霉瞌睡。
锅锅儿	锅子
锅魁(钢盔、锅块)	烧饼
锅魁(钢盔、锅块)	手表	我手上又没戴～我咋个晓得现在好多时间了。
锅烟墨	锅灰	几个砍脑壳的东西，简直是棒老二啦！只差拿~抹个花脸！
葛	镶	记得，前年请木匠~那两口寿木的时候，他曾经暗暗对自己说过	“千万莫死在老婆子前头。”
葛	绞	～线|～麻绳。
葛	结交	他脾气躁辣，～不倒人。
合不得	相生相克	他们俩弟兄简直～，见面就要吵。
合伙(恰伙)	打伙	你是你，我是我，鸭子不和鸡～。
合识	结交	那个娃儿太占强，～不得人。
各顾各	自立	他妈老汉气得满街撵起他骂，他还厚着脸皮说：“新生活，～。”又说各照各。
各人	自己	～的事~晓得。|小玲，给幺叔拈肉，别光顾～吃！|你不动瓶子，瓶子～会倒哇?
各人	每人	炊事员老魏，给李克、文如仁～弄来一钵碗红苕干饭。
各自	自己	金娃子～坐在土地上，拿着新近得来的一件玩具在耍。
各自	每人	几位队长、副队长就～找好地方，开始进行讨论。
角巴儿	角	他那二瞳一鼓起，牛儿一样，顶起个～要擂人。
角角	交界	书～皱了！
角角	角落	那陈矮子却把他领到尽里面那个～上，谁也注意不到的地方。
角逆(角孽、葛孽)	吵架	千万不要和别人～。|你哥哥只管说同我不十分好，我们到底没有扯过筋，角过逆，依然是客客气气的。
桷条	椽子
桷子板	椽子
果果儿	果子	我吃的是槐树颠颠上结的～泡的茶。
果子麻搭	含糊
果子泡儿	水泡	幸好，灶里的火熄得早，要不，毫无疑问，得起几颗～。
裹	卷	吃袋烟再走，你自己～我还要喂猪。
裹缠	裹腿	巡防兵一色青布包头，身上是不很整齐的黄土布军装，两只脚肚打的是灰布～光脚板登着麻耳草鞋。又叫裹缠子。
裹肚兜	钱袋	何幺爷虚张声势地伸手到～里，抓了几十个制钱出来。
裹肚儿	钱袋	他腰腹间明显凸起两大块，左边是皮包，四川人叫～右边是眼镜盒儿。
个个儿	个子	那个人～好小！
个挑个打(过挑过打)	挑挑拣拣	敝号的货色，材料是材料，功夫是功夫，门门认真，～。价钱虽贵一点，但是对得住买主。
过1	通过	～说|~碰|～吹|～打|人事制度，我看还是像以前那样，大才~找，小才～考。
过1	完	一晃翻过旧历年，春草发青了，铲来烧不~了。
过2	二茬	有些事做差些儿，遭老婆血淋头地大骂一顿，也老是这样说：“做～就是了，闹啥子?”|说得不对，说～就是啦。
过场	花样	唯有你这个三丫头~多。|这点小～谁也不会去注意。
过串	完蛋	啊吙！～了，食堂门都关了！
过串	过时	这种衣服样式早就过了串了，哪个还穿它?
过街轿子	出租车	大革命前后，城市修筑了马路，人力车逐渐增多，～生意也随之减少下来。
过红	黄熟	肉都～了，使得了！
过话	造谣惑众	晓得他爱～我啥龙门阵都不跟他摆。
过价	过时	他饿～了，不想去了。|青菜~了，酸菜做不成了。
过经过脉	关键	蒲先生、罗先生不能走，眼前同志们正在~时候，一天也离不开他们。|长生讲的都是些很有用的情况，都是最～的嘛！经，又作筋。
过酒	结婚	他过了酒没有?
守望门寡	守望门寡	～仍然要举行结婚仪式，以示郑重。|她守的是～。就是了。
过门儿	窍门	这自然不过是一种要挟，欲进故退罢了，可惜，干部们不懂这个～。|他以前是牛贩子，我想向他了解一下相牛的～。
过恶事	坏事	总是～做多了，自家心头不安，胡思乱想，才做那样的梦个荷包蛋～。
过路子	过客	反正，～，一晚上的客，哄一回算一回。
过山号	长号	竹号在这个山头吹，那个山头也可听见，所以它又叫～。|每队前头有几支五尺来长的黄铜～。
过午	午饭	许大爷，~了么?你家老九叫你莫等她吃晌午了。
过现	兑现	你怕拖欠束修吗?着他天天与你~
过心	黄熟	牛肉炖了半天，早就~了。|洋竽还没蒸～。
过性	变质	这药放的时间太久，过了性，吃不得了。
过性	透	尽是干～的上等好柏木。|这个馒头都冷~了。
过于(过逾)	过分	妈也说得太~了。|你对人也太~了，还是要维点人山！
过早	早餐	我给你煮两荷包蛋~。
工楷	工整	他的字写得很～。
工农兵	人民币
公	祖父
公口	分部	平日潜伏着的袍哥全出了头，这里设了～那里建立码头。
码头	分部
堂口	分部
拱	冒出	孙小芬的额头上马上～起一个大包。
拱	排挤	要是没有硬后台，你就是弄到这个肥缺，搞不到几个月，就会被人~跨的。
拱背	脊背	回龙山的山顶不是龙头，而是龙的～。
拱服	佩服	我是很～他的。
拱猪	打牌	用朴克牌打～谁当“猪”谁去砍树十下。|朴克拿来，我们来拱盘猪。
拱嘴儿	嘴皮子	请给我切半斤～下酒。你给我把你那猪～闭倒！
供饭	供品	预备～时，她帮助妈妈在灶房做了两样菜。
供饭	上供	你昨天～告了假没来，所以不晓得。
拱	钻	听小三仔呼唤，方才伸了个懒腰，从棉絮里～了出来。|这时人圈外面，～进来八九个人。
拱	动	里头挤满了，你在～哪样?
勾	弯曲	唐淑贞的肩头微微有点耸，项脖微微有点～。
勾	点	王文炳说话时，向郝又三把头～了一下，代替了鞠躬。|我～下腰，用手掌摸摸井底的沙石，觉得微微有点湿润。
勾扯	勾搭	碰到男人，就靠拢去挨擦，娇声嗲气地～。|你们的～我也晓得，要说他当真爱你，他就不该跑！
勾扯	勾结	他因为和徐锅巴胡有~还暗地帮助徐锅巴胡剥削过金毛牛，在其中犯有罪过。
勾二麻糖	乱七八糟	你咋个不管一下你那个女娃子啊！我不在家，就跟人家眉来眼去，～的！
勾勾挂挂	牵挂	我一个单身汉，脚一伸就开走，没得啥子～。
勾眉凹眼	凹陷	这个娃儿咋个长起的?眼睛都～的！
勾嘴	外流	注意点，~了，倒得一地都是油！
沟沟	沟	大巴山更有那数不清的～坎坎。
沟子(勾子)	屁股	八九岁的男娃儿，那时候大多还光两瓣屁股，最多就是牵几条布筋筋，前露雀儿后露～。
钩钩伞	绸伞
钩钩儿	钩子。
钩子麻搭	乱七八糟	这些～事情，老娘早就弄得清清楚楚的了，还等人家告诉我?
钩子麻糖	乱七八糟
狗(苟)	吝啬	千万不可吝惜，使人瞧不上眼，说你～！
狗扯麻糖	夹七夹八	她虽然很少去田头地里，见天三餐茶饭，以及其它～的家务事，总该她动手脚呀！
狗儿	狗
狗儿麻沙	乱七八糟	那些~的东西怎能拿到这些场合上来嘛。
狗儿紳粮	守财奴
狗刨骚(狗刨烧)	爬泳
狗刨骚(狗刨烧)	三脚猫	算罗啊——龟儿～。嘿嘿，你这个样子也要卖打，怕你卖挨打哟。
狗屎	吝啬	真太～了！
狗屎	差	你那一手，好～哪！
狗头狗脑	吝啬	看你～的样子，是个喝茶的么！一角钱都抠半天！狗，又作苟。
够𢭃	扎手	这件事～。
够搞	棘手	这家伙生产上有几手，就是牌气～！|这家伙真～多一分钱也不出！|这件事～好多人胎不下来。
姑嬷儿	小女孩	这个～又聪明、又好学，尊敬师傅，很有出息！
姑嬷儿	女儿	她已经有儿了，就是还想生个～。
孤拐(骨拐)	踝骨	一间不很大的房间，人到里面，只能侧着身子走，一不小心，不撞翻家具，必碰伤～。又说螺狮骨。
孤人	五保户	我愿意当～！
啯噜子	小偷
跍(沽)	蹲	黑鸡无蛋反而～在生蛋窝！
跍(沽)	呆	你老是～在屋头做啥子?|他在家里～了一年多。
谷子	稻谷
谷桩	金针菜
骨牌凳	坐凳
骨牌片儿	肉片
估1	强迫	谁家有粮食是谁家的，任何人都不能～借~要。
估2	猜	你～一下。我~不着。
估逼	强逼	你明天只要把这张印好的东西朝门枋上一巴，随便他啥子歪人，都不敢～你开门做生意了。
估吃霸赊	强横霸道	出入于那个地方的人们，绝大多数是穷苦百姓，也不乏～、提劲打靶的袍哥、流氓、兵痞、地头蛇。
估倒(着)	强迫	单非英～我扮新娘，跟他两个拜堂。
估倒(着)	执意	他一路都在猜朱老头今天～请客的原因。
估奸	强奸	芋子娃那个婆娘闹得天翻地覆，说是卢队长～了她。
估麻子	赌博
估谙	估计	你看，爸爸一～就谙着！|那年去县里“讲用”她坐了个软软和和的单个位子，她～那就是“沙发”了。
牯棒	公牛
䀦(鼓)	鼓	这个难得下山一回的～眼汉子也冲来了。
䀦(鼓)	瞪	米行老板眼睛一～	“不行，班子走了，我们找鬼去?”|中年汉子～着一双黑白分明的大眼，惊诧地看着他。
䀦睛暴眼	口眼歪斜	女儿不漂亮，生得～的，别说高新不喜欢，就连一般男娃儿也不愿多看她两眼。
䀦眉䀦眼	直眉瞪眼	婆婆妈妈都~盯我。
鼓	翻脸	两个娃儿才将还耍得好好的，怎么一下子就闹～了?
鼓背背	饱满	花生米～的。
鼓背背	胖胖	圆滚滚的小女娃子的脸～的。
鼓楞暴胀	圆鼓鼓	书包头装了些啥子，~的?
鼓眼白饭	白饭	人家在街上买不到小菜，—连小莱脚脚都买不到，顿顿吃~的，才造孽哩！
鼓眼饭	白饭	人家在街上买不到小菜，—连小莱脚脚都买不到，顿顿吃~的，才造孽哩！
鼓子(古子)	汤碗
顾脸	争面子	给老子～！看老子捶你们！
瓜	傻	其实那时候，我～得很，这几年才算学精灵了。
瓜宝	傻瓜
瓜宝气	傻瓜
瓜不稀稀	傻乎乎	那个一年四季都流着口水的瓜宝，也在他父亲一阵耳语之后，~地说：“我早就跟她睡过觉了。”
瓜呆子	傻瓜
瓜档	瓜瓤
瓜儿1	傻瓜
瓜儿1	帅哥
瓜儿2	瓜
瓜耳皮	瓜皮帽
瓜葛亲	远房	就只澜生这个人有点迂执，一定会说(三妹与子才)行辈不同，怎好匹配?其实亲戚已经是～了，就在亲戚中间，这样的例并不少。
瓜瓜1	傻瓜	这个～哟，硬是瓜！
瓜瓜2	瓜	架子上～都吊满了！
瓜净	光滑	萝卜要选重的，～的。
瓜眉瓜眼	傻乎乎	大家都走了，你还～地站在那里做啥子！
瓜眉日眼	傻乎乎	你~的望倒做啥子?
瓜眉傻眼	傻乎乎	魏莽娃~一味硬冲，还不撞在他枪口上?
瓜女	妹子
瓜皮子	瓜皮帽	头上戴的是～上面一颗红顶子。又说瓜耳皮。
瓜瓢	瓢子
瓜娃子	傻瓜
瓜稀稀	傻乎乎	你不要看到他面子上～的，其实他心头灵醒得很呢。
刮1	训斥	赵技术员来了，她对我们大发脾气，~了我们一顿。
刮2	很	这药～苦的、我不吃。|董康娃儿嘛，倒也还好，就是烟抽得～凶。|张明贵脸色～青。
刮毒(寡毒、括夺、姡毒)	狠毒	这天杀的赵屠户多～呀！
刮胡子	骂人	难道我就那么喜欢~呀！|姚满凤把那老女人狠狠刮了一顿胡子。
刮削	剥削	积蓄两个钱，给～干净喽
刮子	剃须刀
括扒	扫帚
剐(擦)	扒	兔子已经～好了。|将王英浑身衣服～下，着实重打。
剐鬼皮	盗墓
剐油	清火	小菜是～的。
寡	只	～说不做。不是真本事。
寡淡	清淡	你炒的菜，~像没搁盐一样，点儿味道都莫得。
寡蛋	鸡蛋	只有两位老大娘偶而在佛像脚下放个把既不堪吃、也卖不脱的～。
寡公子	单身汉
寡骨脸(刮骨脸)	驴脸	他登即迈前一步，紧逼着孙少爷的那张苍白～吼道：“你搞清楚，我们都是街坊！我们都是同志会！”也说寡骨子脸。
寡母子	寡妇
寡母子	绝户
寡孽	冷酷无情	那些年，他整过我们，～得很，我不准你跟他的女娃子好。
寡是	只是	这东西好倒好，～贵了点儿。
寡嘴	贫嘴	菊花哩，也学得一张～有的说，没的道。
卦婆子	女巫	～张姨娘有五十多岁，矮胖和善，不像一般巫婆喜欢敲诈。
挂	拨打	只有那么气人了，～了五道都没~通，不是占线，就是没人接。
挂	牵挂	他总是~着家里的事。
挂	瞅	柯冰再拿眼～～孩子，的确可怜。
挂表	怀表
挂果	挂果	三四年后，这批树就开始大~每亩产值达到五、六百元，成为全队的主要经济收入之一。
挂挂钱	铜钱	小铜钱用麻绳穿成一百文和一千文一串，喊为~。
挂红	负荆	走！我们到街公所讲去！若是我们输了理，甘愿给你孙少爷~赔礼！
挂帐	记账	不消说，是个能够～、能够写飞子的裁缝师傅。
挂纸	孝幔
褂褂儿	褂子
乖	漂亮	她算得是这西景镇上第一号～堂客，娘家姓白名字叫如玉。|这娃儿笑起来很～。
乖乖	弟弟
乖乖生生	漂亮	这地方也出奇，不知道是风水好呢，还是庄稼人吃得淡白，所生女患都是～秀秀气气的。
乖桑桑	安静	孩子在屋里头~的耍。
乖稀稀	可爱	这家伙闭倒眼睛比他睁起眼睛受看些，像个岁娃儿，～的。|走路时两只脚尖向内	不要～起走！～起走惯了要成内八字！
拐1	拐弯	拐角九十九道～。|一层楼两道～左右腿必须提二十一次，才能慢慢登得上四楼。
拐1	肘	胳膊～撞过来。
拐1	碰	拿手肘把司机一~道：“前面的直拐来了，注意！
拐2	差错	你听爹妈的话不得～。|一个尖子，不偏不～刚好踢在眉心。
拐2	糟糕	不溜不输，一溜倒~了，老赵晓得，一定认的了我有毛病，所以才畏罪潜逃。
拐杵子	拐杖
拐拐	拐角	书记走出大门，转个弯弯，倒个～又去了另一家。老龙头那人还是个实心子，转不到几个～就抵拢了。
拐扒	轱辘	我的目的是想央求他给我做一只缠风筝线用的～。
线扒子	轱辘
拐扒匠	拐子	你冷丰标是强盗、豺狼、棒老二、～
拐肉	瘦肉
拐台	错	四面都是嘴巴在放腔：“对！说呀！我们哪点儿～了呀?”
怪	下流	这个人好～呵，大白天居然在街上调戏妇女。
怪二五兹	稀奇古怪	这件事遭人家说得～的。
怪话	下流话
怪眉怪眼	怪模怪样	那个人穿的啥衣裳哟，～的！
怪声唔气	奇怪	在枪声中夹杂着鬼子和汉奸～的吼声。
怪头怪脑	古里古怪	儿娃子家家，要问人家姑娘的名字，你才～的！
怪物	流氓	你这个老不正经的老～。
关刀肉	猪肉	他提起两块很漂亮的~。
关冬	蓄水	那冬水田年年～从没干过。
关顾	关心	可自从去年入了曙光社，大家都~她。|牛拉回来了。往后大家都要～些哇！
关火	有用	我说话当个圈圈！要周表叔说话才～。|推荐人的事情，我一个人也关不倒火啊。
关门大吉	关门大吉	随着时局的变化，他的铺面却逐渐减色了，从品种减少一直到～。
关拦	围墙	没丁点儿～贼偷你不说了，连野物也欺人啦！
关牛圈	启蒙
关…相干	有关	我又没有当家，纳粮上税，关我老太爷啥相干?|现在农村好了，富了，是政策对了嘛，关菩萨啥相干哟。
关音	保持	地方太敞了，不～，距离远了耳朵的接收能力不强。
观花	通灵	你今天到阴曹地府去给哪个～呀?|花了三百钱，一顿饭，观了一场花。说她花树下站了个女鬼，要三两银子去给她禳解。
观花婆	女巫	有人去扁担岩那边观了花，那～煞有介事地说，她是栀子精变的。
官山(关山、棺山)	坟山
官中	公共	这田是我们这一族人～的，哪个都不能乱用。
管	值	这件衣服～好多钱?
管得	不管	只要能够赚钱，可以不择手段，～你什么商业道德。
管得	别管	“老太爷已经死了，你还是一身擦得这样香，是擦给哪个闻的?”“你～我擦给哪个闻?我的事你们管不到！”
管管儿	管子
管钱	昂贵	这种料子很～。
贯	贯彻	好！我一定尽量把县委的指示往下面～！
摜	撂	话说回来，也大可不必耍那种～木碗碗的脾气啊！
惯失(惯使、惯侍)	溺爱	你越说，她反而越～把个心儿～得连啥子人都不怕了。|三妹，这几天我太～你，你也学会斗嘴了。
惯适	适应	你们是重庆大码头的，到这渣滓洞集中营里头，开初几天，怕不大～?
灌	化脓	疱都~了，把脓挤乾净才易得好。|手掌虽然没有出血，到底擦破了皮，“沾了生水，怕会～脓的。”
罐罐儿	罐子
光巴顶董	袒胸露臂	你呀！~的吹电扇，谨防受凉。
光板板	干净	李克一看，还是～一大块地，将鼻绳一带，拉着水牯走过去。
光不溜丢	赤裸裸	夜晚睡觉呀，要把裤儿衣裳脱的～的给人家缴上去。
光叉叉	赤裸	幺儿子～的在凉床上睡觉。
光彩	烘托	他心中明白，章仲仁无非想借他这块招牌，～场面而已。
光赤净杆	光杆儿	在区委会里，我差不多是孤家寡人，～一个，再讲多少话，那怕嘴巴磨得起血泡，又有啥子用啊?
光杵杵(光础础)	光秃秃	扫帚已经扫得～的了。
光董董	袒胸露臂	他推操着～的儿子，把他从床上叫醒来。
光杆儿	单身汉
光棍	喽啰	才当了个～就自以为了不起了，可以随便抓、拿、骗、吃；袍哥的好处一点没有学到！
光火	愤怒	陷于难堪境地的文如仁，大为~。
光脚板	赤脚	打～|巡防兵～登着麻耳草鞋。
光脚两片	赤脚	而且是～并未穿袜子。
光脚亮杆	赤脚	他～的，好像要下田栽秧一样。
光胯丁当	赤裸	生产队长见他还～地躺在床上直打呼噜哩！
光面子	漂亮话	做～|多少客位被他这～话鲠住了，谁还好意思为少秤了几片黄缮、少抓了几块白菜去找他?
光零零	干净	土匪把他抢得～的、裤带筋筋都没留一根！他～的从被窝里爬了出来。
光生	光洁	李让的手脚远比李克搞的快，而且补得又～又整齐。|肯信你一家人，就个个长得漂亮～?
光生	光彩	他为集体办大事，名声好，你脸面也～。
光身汉	单身汉
光刷刷	光秃秃	公路两旁的树木被剔成～的，不但影响美观，也造成了树木的大量死亡。
光堂话	漂亮话	给我的信里，尽说～。
